# Numerals
1,  digit, mono
2,  digit, di
3,  digit, tri
4,  digit, tetra,tetr
5,  digit, penta,pent
6,  digit, heksa,heks
7,  digit, hepta,hept
8,  digit, okta, okt
9,  digit, nona, non
0,  digit, ei
10, digit, dek
20, digit, koz

# Functional groups
alkan, group,  an, yl
alken, group,  en
alkin, group,  yn
keton, group,  on

# Junctions
residue,  functional, a
junction, functional, o

# Multipliers
10,  multiplier, kont
100, multiplier, kt

# Last group
F , element, fluoro
Cl, element, chloro
Br, element, bromo
I , element, jodo
At, element, astato
Ts, element, teneso

# Exeptions
1, digit, met
2, digit, et
3, digit, prop
4, digit, but
